PersId,Name,EuParty,Country,NationalParty,LeaveDate,EntryDate
197490,Magdalena Adamowicz,EPP,Poland,Independent,2024-07-02,2019-06-02
189525,Asim Ademov,EPP,Bulgaria,Citizens for European Development of Bulgaria,2024-07-02,2019-06-02
124831,Isabella Adinolfi,EPP,Italy,Forza Italia,2024-07-02,2019-06-02
197826,Matteo Adinolfi,ID,Italy,Lega,2024-07-02,2019-06-02
197403,Alex Agius Saliba,S&D,Malta,Partit Laburista,2024-07-02,2019-06-02
198096,Mazaly Aguilar,ECR,Spain,VOX,2024-07-02,2019-06-02
125045,Clara Aguilera,S&D,Spain,Partido Socialista Obrero Español,2024-07-02,2019-06-02
204335,Alviina Alametsä,Greens/EFA,Finland,Vihreä liitto,2024-07-02,2020-02-01
237224,João Albuquerque,S&D,Portugal,Partido Socialista,2024-07-02,2022-09-13
197836,Alexander Alexandrov Yordanov,EPP,Bulgaria,Union of Democratic Forces,2024-07-02,2019-06-02
96750,François Alfonsi,Greens/EFA,France,Régions et Peuples Solidaires,2024-07-02,2019-06-02
197848,Atidzhe Alieva-Veli,Renew,Bulgaria,Movement for Rights and Freedoms,2024-07-02,2019-06-02
197400,Abir Al-Sahlani,Renew,Sweden,Centerpartiet,2024-07-02,2019-06-02
247122,Catherine Amalric,Renew,France,Parti Radical,2024-07-02,2023-08-10
197783,Andris Ameriks,S&D,Latvia,Gods kalpot Rīgai,2024-07-02,2019-06-02
197475,Christine Anderson,ID,Germany,Alternative für Deutschland,2024-07-02,2019-06-02
197448,Rasmus Andresen,Greens/EFA,Germany,Bündnis 90/Die Grünen,2024-07-02,2019-06-02
204332,Barry Andrews,Renew,Ireland,Fianna Fáil Party,2024-07-02,2020-02-01
197691,Mathilde Androuët,ID,France,Rassemblement national,2024-07-02,2019-06-02
202073,Marc Angel,S&D,Luxembourg,Parti ouvrier socialiste luxembourgeois,2024-07-02,2019-12-10
124973,Gerolf Annemans,ID,Belgium,Vlaams Belang,2024-07-02,2019-06-02
124696,Andrus Ansip,Renew,Estonia,Eesti Reformierakond,2024-07-02,2019-06-02
197587,Attila Ara-Kovács,S&D,Hungary,Demokratikus Koalíció,2024-07-02,2019-06-02
124936,Maria Arena,S&D,Belgium,Parti Socialiste,2024-07-02,2019-06-02
96808,Pablo Arias Echeverría,EPP,Spain,Partido Popular,2024-07-02,2019-06-02
24922,Pascal Arimont,EPP,Belgium,Christlich Soziale Partei,2024-07-02,2019-06-02
197701,Konstantinos Arvanitis,The Left,Greece,Coalition of the Radical Left,2024-07-02,2019-06-02
197695,Anna-Michelle Asimakopoulou,EPP,Greece,Nea Demokratia,2024-07-02,2019-06-02
197533,Manon Aubry,The Left,France,La France Insoumise,2024-07-02,2019-06-02
28161,Margrete Auken,Greens/EFA,Denmark,Socialistisk Folkeparti,2024-07-02,2019-06-02
124766,Petras Auštrevičius,Renew,Lithuania,Lietuvos Respublikos liberalų sąjūdis,2024-07-02,2019-06-02
197651,Carmen Avram,S&D,Romania,Partidul Social Democrat,2024-07-02,2019-06-02
197781,Malik Azmani,Renew,Netherlands,Volkspartij voor Vrijheid en Democratie,2024-07-02,2019-06-02
247735,Laura Ballarín Cereza,S&D,Spain,Partido Socialista Obrero Español,2024-07-02,2023-09-06
197495,Marek Paweł Balt,S&D,Poland,Nowa Lewica,2024-07-02,2019-06-02
131580,Jordan Bardella,ID,France,Rassemblement national,2024-07-02,2019-06-02
197433,Katarina Barley,S&D,Germany,Sozialdemokratische Partei Deutschlands,2024-07-02,2019-06-02
197808,Pietro Bartolo,S&D,Italy,Partito Democratico,2024-07-02,2019-06-02
197671,Traian Băsescu,EPP,Romania,Partidul Mișcarea Populară,2024-07-02,2019-06-02
197610,Alessandra Basso,ID,Italy,Lega,2024-07-02,2019-06-02
197779,José Ramón Bauzá Díaz,Renew,Spain,Ciudadanos – Partido de la Ciudadanía,2024-07-02,2019-06-02
124760,Nicolas Bay,ECR,France,Reconquête!,2024-07-02,2019-06-02
